major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402202,Mathematics for Construction,,,Functional Math,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402203,Science and Materials,,,Functional Physics,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402221,Principles of Off-site Construction,,,50402121,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402343,Civil Engineering Technology,,,50401221,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,School Requirements,50402361,Sustainable Methods for Construction,,,50401221,5,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,10301121,English Pre-Intermediate Intensive + Lab,,,10301120,1,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,10301123,English Intermediate,,,10301121,1,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,10301124,English Upper-Intermediate,,,10301122 or 10301123,1,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,40302111,Professional Skills,,,,1,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,40302211,Professional Practice,,,40302111,2,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,40302231,Entrepreneurship Bootcamp,,,3,1,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,School of Built Environment Engineering,Technical,,current,University Requirements,50400451,Personal Professional Development,,,Successfully completed 110 CH + Entrepreneurship bootcamp,2,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
